algo_name;pattern_len;time
stupid;100;150360
kmp;100;210240
refined_kmp;100;159270
stupid;200;152110
kmp;200;214570
refined_kmp;200;157680
stupid;300;148810
kmp;300;245860
refined_kmp;300;153800
stupid;400;147730
kmp;400;217360
refined_kmp;400;157930
stupid;500;155610
kmp;500;219540
refined_kmp;500;157520
stupid;600;149420
kmp;600;308770
refined_kmp;600;177970
stupid;700;141430
kmp;700;227820
refined_kmp;700;160250
stupid;800;149730
kmp;800;224170
refined_kmp;800;159840
stupid;900;146010
kmp;900;231590
refined_kmp;900;182670
stupid;1000;144130
kmp;1000;224730
refined_kmp;1000;164590
stupid;1100;140210
kmp;1100;235660
refined_kmp;1100;165550
stupid;1200;223020
kmp;1200;226410
refined_kmp;1200;161860
stupid;1300;150360
kmp;1300;232100
refined_kmp;1300;163300
stupid;1400;142170
kmp;1400;239630
refined_kmp;1400;164910
stupid;1500;140500
kmp;1500;236920
refined_kmp;1500;168430
stupid;1600;136500
kmp;1600;244420
refined_kmp;1600;166510
stupid;1700;137990
kmp;1700;244320
refined_kmp;1700;168980
stupid;1800;138600
kmp;1800;243720
refined_kmp;1800;166960
stupid;1900;135680
kmp;1900;247550
refined_kmp;1900;171810
stupid;2000;130200
kmp;2000;249390
refined_kmp;2000;173110
stupid;2100;134010
kmp;2100;248360
refined_kmp;2100;168360
stupid;2200;133000
kmp;2200;256330
refined_kmp;2200;173490
stupid;2300;127450
kmp;2300;323640
refined_kmp;2300;169580
stupid;2400;126940
kmp;2400;267340
refined_kmp;2400;170490
stupid;2500;125730
kmp;2500;258980
refined_kmp;2500;178470
stupid;2600;132010
kmp;2600;260770
refined_kmp;2600;179840
stupid;2700;123650
kmp;2700;268540
refined_kmp;2700;177420
stupid;2800;122970
kmp;2800;259740
refined_kmp;2800;183560
stupid;2900;127480
kmp;2900;266940
refined_kmp;2900;174630
stupid;3000;120800
kmp;3000;266890
refined_kmp;3000;184210
