algo_name;pattern_len;time
stupid;100;199700
kmp;100;208390
refined_kmp;100;151970
stupid;200;158850
kmp;200;215690
refined_kmp;200;153840
stupid;300;153340
kmp;300;213400
refined_kmp;300;157580
stupid;400;149040
kmp;400;217660
refined_kmp;400;162650
stupid;500;146220
kmp;500;219980
refined_kmp;500;156970
stupid;600;148340
kmp;600;221060
refined_kmp;600;156850
stupid;700;148550
kmp;700;224940
refined_kmp;700;160780
stupid;800;151170
kmp;800;398350
refined_kmp;800;189420
stupid;900;141770
kmp;900;222800
refined_kmp;900;162200
stupid;1000;145930
kmp;1000;224830
refined_kmp;1000;163800
stupid;1100;143020
kmp;1100;231500
refined_kmp;1100;169280
stupid;1200;142090
kmp;1200;229580
refined_kmp;1200;161210
stupid;1300;142070
kmp;1300;235030
refined_kmp;1300;166760
stupid;1400;136560
kmp;1400;230750
refined_kmp;1400;165490
stupid;1500;138480
kmp;1500;237790
refined_kmp;1500;243950
stupid;1600;132300
kmp;1600;233980
refined_kmp;1600;169670
stupid;1700;133500
kmp;1700;236750
refined_kmp;1700;170950
stupid;1800;133390
kmp;1800;237580
refined_kmp;1800;170210
stupid;1900;138660
kmp;1900;245910
refined_kmp;1900;170090
stupid;2000;133690
kmp;2000;247090
refined_kmp;2000;173150
stupid;2100;129430
kmp;2100;242690
refined_kmp;2100;172310
stupid;2200;134150
kmp;2200;249710
refined_kmp;2200;191450
stupid;2300;188200
kmp;2300;239800
refined_kmp;2300;173280
stupid;2400;128790
kmp;2400;249340
refined_kmp;2400;175260
stupid;2500;127170
kmp;2500;248870
refined_kmp;2500;176920
stupid;2600;127210
kmp;2600;262760
refined_kmp;2600;173560
stupid;2700;125490
kmp;2700;257940
refined_kmp;2700;177940
stupid;2800;121930
kmp;2800;256440
refined_kmp;2800;176300
stupid;2900;125770
kmp;2900;261170
refined_kmp;2900;179510
stupid;3000;126550
kmp;3000;259670
refined_kmp;3000;180590
