algo_name;pattern_len;time
stupid;100;170580
kmp;100;225650
refined_kmp;100;158370
hash;100;183660
stupid;200;152740
kmp;200;228470
refined_kmp;200;160910
hash;200;292990
stupid;300;174740
kmp;300;284520
refined_kmp;300;193920
hash;300;211970
stupid;400;155110
kmp;400;252380
refined_kmp;400;171240
hash;400;206650
stupid;500;264060
kmp;500;239570
refined_kmp;500;178330
hash;500;207520
stupid;600;156030
kmp;600;256850
refined_kmp;600;180750
hash;600;204100
stupid;700;164310
kmp;700;260700
refined_kmp;700;178700
hash;700;210220
stupid;800;160320
kmp;800;256080
refined_kmp;800;176210
hash;800;226150
stupid;900;167330
kmp;900;254760
refined_kmp;900;179020
hash;900;295250
stupid;1000;188010
kmp;1000;331860
refined_kmp;1000;235490
hash;1000;230290
stupid;1100;159070
kmp;1100;261450
refined_kmp;1100;183690
hash;1100;242660
stupid;1200;201700
kmp;1200;330510
refined_kmp;1200;244680
hash;1200;321580
stupid;1300;188910
kmp;1300;331560
refined_kmp;1300;247390
hash;1300;331670
stupid;1400;195300
kmp;1400;367900
refined_kmp;1400;235210
hash;1400;207460
stupid;1500;146140
kmp;1500;259430
refined_kmp;1500;187150
hash;1500;207900
stupid;1600;188300
kmp;1600;353360
refined_kmp;1600;245450
hash;1600;309230
stupid;1700;176230
kmp;1700;349880
refined_kmp;1700;243850
hash;1700;265080
stupid;1800;143180
kmp;1800;274110
refined_kmp;1800;190930
hash;1800;203010
stupid;1900;150960
kmp;1900;273190
refined_kmp;1900;187980
hash;1900;204290
stupid;2000;146790
kmp;2000;359590
refined_kmp;2000;289780
hash;2000;317940
stupid;2100;172590
kmp;2100;369610
refined_kmp;2100;255480
hash;2100;327490
stupid;2200;165510
kmp;2200;281020
refined_kmp;2200;172250
hash;2200;187420
stupid;2300;134550
kmp;2300;275800
refined_kmp;2300;184260
hash;2300;189950
stupid;2400;180890
kmp;2400;393080
refined_kmp;2400;275540
hash;2400;204580
stupid;2500;158280
kmp;2500;305420
refined_kmp;2500;202470
hash;2500;218910
stupid;2600;161750
kmp;2600;309020
refined_kmp;2600;195070
hash;2600;209840
stupid;2700;164900
kmp;2700;319810
refined_kmp;2700;210720
hash;2700;220660
stupid;2800;151790
kmp;2800;316390
refined_kmp;2800;205200
hash;2800;204150
stupid;2900;138810
kmp;2900;310580
refined_kmp;2900;203440
hash;2900;177870
stupid;3000;128250
kmp;3000;298030
refined_kmp;3000;181710
hash;3000;185610
