algo_name;pattern_len;time
stupid;100;2115990
kmp;100;2567750
refined_kmp;100;1736590
stupid;200;2149620
kmp;200;2560250
refined_kmp;200;1654900
stupid;300;2156710
kmp;300;2550220
refined_kmp;300;1642970
stupid;400;2166300
kmp;400;2548590
refined_kmp;400;1638120
stupid;500;2148690
kmp;500;2606090
refined_kmp;500;1513970
stupid;600;2069880
kmp;600;2561700
refined_kmp;600;1619980
stupid;700;2113020
kmp;700;2640490
refined_kmp;700;1693860
stupid;800;2119130
kmp;800;2618060
refined_kmp;800;1640950
stupid;900;2149000
kmp;900;2735970
refined_kmp;900;1676920
stupid;1000;2141350
kmp;1000;2654120
refined_kmp;1000;2088710
stupid;1100;2142120
kmp;1100;2623540
refined_kmp;1100;1641640
stupid;1200;2090290
kmp;1200;2601830
refined_kmp;1200;1641910
stupid;1300;2098190
kmp;1300;2602970
refined_kmp;1300;1636660
stupid;1400;2408560
kmp;1400;2506050
refined_kmp;1400;1637870
stupid;1500;2037330
kmp;1500;2600610
refined_kmp;1500;1693860
stupid;1600;2057440
kmp;1600;2572330
refined_kmp;1600;1666260
stupid;1700;1952550
kmp;1700;2524180
refined_kmp;1700;1756540
stupid;1800;2040840
kmp;1800;2522860
refined_kmp;1800;1723600
stupid;1900;2048240
kmp;1900;2600780
refined_kmp;1900;1718750
stupid;2000;2066960
kmp;2000;2537570
refined_kmp;2000;1715280
stupid;2100;2085250
kmp;2100;2553410
refined_kmp;2100;1646310
stupid;2200;2075970
kmp;2200;2614070
refined_kmp;2200;1696870
stupid;2300;2060120
kmp;2300;2601440
refined_kmp;2300;1641130
stupid;2400;2123590
kmp;2400;2572830
refined_kmp;2400;1635380
stupid;2500;2101600
kmp;2500;2572620
refined_kmp;2500;1723910
stupid;2600;2042740
kmp;2600;2548000
refined_kmp;2600;1635600
stupid;2700;2057070
kmp;2700;2539870
refined_kmp;2700;1703710
stupid;2800;1963950
kmp;2800;2540230
refined_kmp;2800;1605670
stupid;2900;2068070
kmp;2900;2522740
refined_kmp;2900;1693680
stupid;3000;2014670
kmp;3000;2574220
refined_kmp;3000;1609690
