algo_name;pattern_len;time
stupid;100;2155230
kmp;100;2981760
refined_kmp;100;1749060
stupid;200;2091310
kmp;200;2589250
refined_kmp;200;1786380
stupid;300;2149620
kmp;300;2506210
refined_kmp;300;1594150
stupid;400;2035580
kmp;400;2603340
refined_kmp;400;1680720
stupid;500;2029140
kmp;500;2528100
refined_kmp;500;1621590
stupid;600;2222300
kmp;600;2508390
refined_kmp;600;1607310
stupid;700;2132810
kmp;700;2585960
refined_kmp;700;1673610
stupid;800;2123870
kmp;800;2503090
refined_kmp;800;1589900
stupid;900;1946320
kmp;900;2575860
refined_kmp;900;1691670
stupid;1000;2196580
kmp;1000;2537200
refined_kmp;1000;1717700
stupid;1100;2091270
kmp;1100;2656930
refined_kmp;1100;1663100
stupid;1200;2149280
kmp;1200;2654070
refined_kmp;1200;1644440
stupid;1300;2200140
kmp;1300;2487530
refined_kmp;1300;1685310
stupid;1400;2443610
kmp;1400;2558170
refined_kmp;1400;1633690
stupid;1500;2113180
kmp;1500;2495580
refined_kmp;1500;1705470
stupid;1600;2069580
kmp;1600;2456870
refined_kmp;1600;1705210
stupid;1700;2103850
kmp;1700;2531370
refined_kmp;1700;1706090
stupid;1800;2040410
kmp;1800;2393610
refined_kmp;1800;1594280
stupid;1900;2068310
kmp;1900;2451060
refined_kmp;1900;1681680
stupid;2000;2017220
kmp;2000;2531870
refined_kmp;2000;1617580
stupid;2100;2101960
kmp;2100;2465070
refined_kmp;2100;1683140
stupid;2200;2021550
kmp;2200;2514210
refined_kmp;2200;1619480
stupid;2300;2063180
kmp;2300;2494950
refined_kmp;2300;1701730
stupid;2400;2013360
kmp;2400;2480030
refined_kmp;2400;1626560
stupid;2500;2026660
kmp;2500;2462500
refined_kmp;2500;1681580
stupid;2600;2003270
kmp;2600;2533000
refined_kmp;2600;1624810
stupid;2700;2066420
kmp;2700;2388520
refined_kmp;2700;1610460
stupid;2800;1947860
kmp;2800;2489160
refined_kmp;2800;1578340
stupid;2900;2037600
kmp;2900;2502880
refined_kmp;2900;1683520
stupid;3000;2070780
kmp;3000;2678280
refined_kmp;3000;1703830
