algo_name;pattern_len;time
stupid;100;1568020
kmp;100;2182020
refined_kmp;100;1585870
stupid;200;1508080
kmp;200;2174570
refined_kmp;200;2009240
stupid;300;1504460
kmp;300;2245180
refined_kmp;300;1510800
stupid;400;1588800
kmp;400;2186970
refined_kmp;400;1508590
stupid;500;1559600
kmp;500;2177080
refined_kmp;500;1516120
stupid;600;1515150
kmp;600;2240250
refined_kmp;600;1587230
stupid;700;1498880
kmp;700;2088870
refined_kmp;700;1457340
stupid;800;1543600
kmp;800;2125360
refined_kmp;800;1455710
stupid;900;1482920
kmp;900;2175700
refined_kmp;900;1617930
stupid;1000;1506970
kmp;1000;2258070
refined_kmp;1000;1534070
stupid;1100;1597200
kmp;1100;2198050
refined_kmp;1100;1526010
stupid;1200;1560670
kmp;1200;2205510
refined_kmp;1200;1608040
stupid;1300;1483020
kmp;1300;2143060
refined_kmp;1300;1499810
stupid;1400;1480180
kmp;1400;2247060
refined_kmp;1400;1541240
stupid;1500;1510820
kmp;1500;2016240
refined_kmp;1500;1517630
stupid;1600;1417730
kmp;1600;2024160
refined_kmp;1600;1570890
stupid;1700;1488490
kmp;1700;2222280
refined_kmp;1700;1598320
stupid;1800;1486990
kmp;1800;2228420
refined_kmp;1800;1514960
stupid;1900;1530250
kmp;1900;2181420
refined_kmp;1900;1614070
stupid;2000;1491460
kmp;2000;2253200
refined_kmp;2000;1527750
stupid;2100;1517590
kmp;2100;2246970
refined_kmp;2100;1533760
stupid;2200;1542630
kmp;2200;2193450
refined_kmp;2200;1605710
stupid;2300;1489900
kmp;2300;2230720
refined_kmp;2300;1545160
stupid;2400;1491090
kmp;2400;2258770
refined_kmp;2400;1551740
stupid;2500;1558010
kmp;2500;2174460
refined_kmp;2500;1532500
stupid;2600;1544690
kmp;2600;2177630
refined_kmp;2600;1588410
stupid;2700;1514170
kmp;2700;2241450
refined_kmp;2700;1608920
stupid;2800;1535930
kmp;2800;2668160
refined_kmp;2800;1540830
stupid;2900;1552960
kmp;2900;2180690
refined_kmp;2900;1616070
stupid;3000;1480530
kmp;3000;2265620
refined_kmp;3000;1534690
