algo_name;pattern_len;time
stupid;100;2142090
kmp;100;2755760
refined_kmp;100;1615370
stupid;200;2244830
kmp;200;2781110
refined_kmp;200;1627080
stupid;300;2135090
kmp;300;2756210
refined_kmp;300;1679700
stupid;400;2201240
kmp;400;2728160
refined_kmp;400;1547470
stupid;500;1975720
kmp;500;2666520
refined_kmp;500;1693890
stupid;600;2353800
kmp;600;2709430
refined_kmp;600;1658070
stupid;700;2262170
kmp;700;2844290
refined_kmp;700;1648750
stupid;800;2249920
kmp;800;2723020
refined_kmp;800;1634340
stupid;900;2216990
kmp;900;2686130
refined_kmp;900;1596010
stupid;1000;2090720
kmp;1000;2694960
refined_kmp;1000;1633520
stupid;1100;2301420
kmp;1100;2752700
refined_kmp;1100;1627870
stupid;1200;2210590
kmp;1200;2807310
refined_kmp;1200;1757900
stupid;1300;2166250
kmp;1300;2704870
refined_kmp;1300;1592900
stupid;1400;2081460
kmp;1400;2765030
refined_kmp;1400;1624070
stupid;1500;2193560
kmp;1500;2758060
refined_kmp;1500;1698040
stupid;1600;2097880
kmp;1600;3058450
refined_kmp;1600;1502420
stupid;1700;2023540
kmp;1700;2665220
refined_kmp;1700;1652130
stupid;1800;2095410
kmp;1800;2521940
refined_kmp;1800;1534860
stupid;1900;2095450
kmp;1900;2553510
refined_kmp;1900;1563530
stupid;2000;2045520
kmp;2000;2705020
refined_kmp;2000;1613170
stupid;2100;2217420
kmp;2100;2571160
refined_kmp;2100;1544570
stupid;2200;2111750
kmp;2200;2622780
refined_kmp;2200;1651520
stupid;2300;2075260
kmp;2300;2755670
refined_kmp;2300;1653870
stupid;2400;2140090
kmp;2400;2694070
refined_kmp;2400;1541570
stupid;2500;1958260
kmp;2500;2655190
refined_kmp;2500;1603470
stupid;2600;2122610
kmp;2600;2627800
refined_kmp;2600;1594470
stupid;2700;2389280
kmp;2700;2587300
refined_kmp;2700;1609090
stupid;2800;2007600
kmp;2800;2650590
refined_kmp;2800;1551470
stupid;2900;2027200
kmp;2900;2395160
refined_kmp;2900;1540850
stupid;3000;1915870
kmp;3000;2680950
refined_kmp;3000;1583160
