algo_name;pattern_len;time
stupid;100;247550
kmp;100;368390
refined_kmp;100;199290
hash;100;223910
stupid;200;233660
kmp;200;278870
refined_kmp;200;191770
hash;200;223810
stupid;300;224220
kmp;300;359880
refined_kmp;300;244100
hash;300;322400
stupid;400;257140
kmp;400;296090
refined_kmp;400;212010
hash;400;236010
stupid;500;244010
kmp;500;401260
refined_kmp;500;284870
hash;500;275530
stupid;600;255640
kmp;600;328300
refined_kmp;600;215000
hash;600;288210
stupid;700;303370
kmp;700;392720
refined_kmp;700;268220
hash;700;272180
stupid;800;266080
kmp;800;336260
refined_kmp;800;290110
hash;800;360740
stupid;900;266830
kmp;900;375780
refined_kmp;900;197070
hash;900;215790
stupid;1000;221030
kmp;1000;336900
refined_kmp;1000;212290
hash;1000;233630
stupid;1100;221530
kmp;1100;301230
refined_kmp;1100;195630
hash;1100;225830
stupid;1200;218160
kmp;1200;315810
refined_kmp;1200;266200
hash;1200;315130
stupid;1300;237860
kmp;1300;316470
refined_kmp;1300;302080
hash;1300;178000
stupid;1400;170060
kmp;1400;247100
refined_kmp;1400;159820
hash;1400;166830
stupid;1500;176880
kmp;1500;243030
refined_kmp;1500;168430
hash;1500;181200
stupid;1600;180540
kmp;1600;256710
refined_kmp;1600;169490
hash;1600;178440
stupid;1700;221770
kmp;1700;252340
refined_kmp;1700;162850
hash;1700;165540
stupid;1800;163360
kmp;1800;252400
refined_kmp;1800;180030
hash;1800;176770
stupid;1900;172620
kmp;1900;263510
refined_kmp;1900;202320
hash;1900;256700
stupid;2000;183320
kmp;2000;270040
refined_kmp;2000;183620
hash;2000;183290
stupid;2100;169750
kmp;2100;334930
refined_kmp;2100;180830
hash;2100;189360
stupid;2200;174960
kmp;2200;294660
refined_kmp;2200;191020
hash;2200;189860
stupid;2300;178250
kmp;2300;295450
refined_kmp;2300;184770
hash;2300;188290
stupid;2400;168870
kmp;2400;298520
refined_kmp;2400;192060
hash;2400;226270
stupid;2500;241320
kmp;2500;287040
refined_kmp;2500;202630
hash;2500;177720
stupid;2600;165860
kmp;2600;299490
refined_kmp;2600;194580
hash;2600;190370
stupid;2700;208220
kmp;2700;277190
refined_kmp;2700;176830
hash;2700;172680
stupid;2800;148790
kmp;2800;283300
refined_kmp;2800;193480
hash;2800;244430
stupid;2900;156590
kmp;2900;288060
refined_kmp;2900;187170
hash;2900;171430
stupid;3000;173570
kmp;3000;297870
refined_kmp;3000;195740
hash;3000;172670
