algo_name;pattern_len;time
stupid;100;1603050
kmp;100;2196480
refined_kmp;100;1526850
stupid;200;1611900
kmp;200;2229300
refined_kmp;200;1606130
stupid;300;1576790
kmp;300;2254040
refined_kmp;300;1571260
stupid;400;1587770
kmp;400;2278810
refined_kmp;400;1562520
stupid;500;1651960
kmp;500;2292940
refined_kmp;500;1938790
stupid;600;1569940
kmp;600;2267370
refined_kmp;600;1584800
stupid;700;1684660
kmp;700;2261000
refined_kmp;700;1605630
stupid;800;1604210
kmp;800;2281300
refined_kmp;800;2072270
stupid;900;1668930
kmp;900;2299370
refined_kmp;900;1730920
stupid;1000;1662350
kmp;1000;2306700
refined_kmp;1000;1596420
stupid;1100;1542510
kmp;1100;2305230
refined_kmp;1100;1537570
stupid;1200;1609580
kmp;1200;2234130
refined_kmp;1200;1650420
stupid;1300;1538340
kmp;1300;2285580
refined_kmp;1300;1547000
stupid;1400;1575360
kmp;1400;2281940
refined_kmp;1400;1535430
stupid;1500;1598800
kmp;1500;2255230
refined_kmp;1500;1611270
stupid;1600;1566830
kmp;1600;2252910
refined_kmp;1600;1567060
stupid;1700;1407970
kmp;1700;2191360
refined_kmp;1700;1556860
stupid;1800;1544190
kmp;1800;2250490
refined_kmp;1800;1544170
stupid;1900;1472270
kmp;1900;2239400
refined_kmp;1900;1541320
stupid;2000;1503550
kmp;2000;2242780
refined_kmp;2000;1535600
stupid;2100;1626060
kmp;2100;2217360
refined_kmp;2100;1561340
stupid;2200;1528130
kmp;2200;2224760
refined_kmp;2200;1554350
stupid;2300;1524140
kmp;2300;2219450
refined_kmp;2300;1564160
stupid;2400;1590310
kmp;2400;2208010
refined_kmp;2400;1608550
stupid;2500;1534190
kmp;2500;2260580
refined_kmp;2500;1560670
stupid;2600;1530530
kmp;2600;2250220
refined_kmp;2600;1560030
stupid;2700;1579400
kmp;2700;2254990
refined_kmp;2700;1589480
stupid;2800;1516680
kmp;2800;2230430
refined_kmp;2800;1560770
stupid;2900;1630150
kmp;2900;2217830
refined_kmp;2900;1571730
stupid;3000;1592730
kmp;3000;2224460
refined_kmp;3000;1649810
