algo_name;pattern_len;time
stupid;100;209730
kmp;100;250190
refined_kmp;100;168530
stupid;200;207420
kmp;200;247100
refined_kmp;200;170990
stupid;300;201580
kmp;300;246350
refined_kmp;300;170950
stupid;400;209180
kmp;400;248970
refined_kmp;400;170290
stupid;500;202500
kmp;500;260890
refined_kmp;500;170000
stupid;600;197920
kmp;600;252330
refined_kmp;600;172260
stupid;700;204380
kmp;700;256450
refined_kmp;700;168990
stupid;800;192920
kmp;800;265650
refined_kmp;800;174130
stupid;900;209080
kmp;900;259930
refined_kmp;900;175600
stupid;1000;193880
kmp;1000;261310
refined_kmp;1000;175370
stupid;1100;195850
kmp;1100;329440
refined_kmp;1100;182780
stupid;1200;183330
kmp;1200;269550
refined_kmp;1200;175130
stupid;1300;189980
kmp;1300;262650
refined_kmp;1300;179410
stupid;1400;189780
kmp;1400;264930
refined_kmp;1400;181820
stupid;1500;181430
kmp;1500;272250
refined_kmp;1500;183100
stupid;1600;183810
kmp;1600;343350
refined_kmp;1600;182680
stupid;1700;177050
kmp;1700;271050
refined_kmp;1700;183090
stupid;1800;182850
kmp;1800;270610
refined_kmp;1800;187390
stupid;1900;177290
kmp;1900;282360
refined_kmp;1900;186910
stupid;2000;177670
kmp;2000;272440
refined_kmp;2000;187660
stupid;2100;175470
kmp;2100;356450
refined_kmp;2100;186130
stupid;2200;180690
kmp;2200;278840
refined_kmp;2200;188960
stupid;2300;167970
kmp;2300;281400
refined_kmp;2300;192330
stupid;2400;166580
kmp;2400;282010
refined_kmp;2400;191630
stupid;2500;168950
kmp;2500;281300
refined_kmp;2500;194790
stupid;2600;194750
kmp;2600;290210
refined_kmp;2600;194140
stupid;2700;161000
kmp;2700;284540
refined_kmp;2700;198860
stupid;2800;164190
kmp;2800;313710
refined_kmp;2800;193180
stupid;2900;168570
kmp;2900;288210
refined_kmp;2900;195230
stupid;3000;161170
kmp;3000;293840
refined_kmp;3000;286150
