algo_name;pattern_len;time
stupid;100;1702530
kmp;100;2307370
refined_kmp;100;1547890
stupid;200;1634380
kmp;200;2453960
refined_kmp;200;1741970
stupid;300;1663600
kmp;300;2295480
refined_kmp;300;1684680
stupid;400;1629360
kmp;400;2366130
refined_kmp;400;1555890
stupid;500;1689540
kmp;500;2293120
refined_kmp;500;1619590
stupid;600;1558430
kmp;600;2317450
refined_kmp;600;1937130
stupid;700;1476810
kmp;700;2332100
refined_kmp;700;1546240
stupid;800;1633280
kmp;800;2295950
refined_kmp;800;1594470
stupid;900;1541240
kmp;900;2309530
refined_kmp;900;1554820
stupid;1000;1532180
kmp;1000;2326090
refined_kmp;1000;1551410
stupid;1100;1581830
kmp;1100;2229190
refined_kmp;1100;1581270
stupid;1200;1558990
kmp;1200;2290750
refined_kmp;1200;1556110
stupid;1300;1624550
kmp;1300;2396830
refined_kmp;1300;1605810
stupid;1400;1639020
kmp;1400;2517940
refined_kmp;1400;1681030
stupid;1500;1524550
kmp;1500;2317230
refined_kmp;1500;1694180
stupid;1600;1651820
kmp;1600;2258520
refined_kmp;1600;1650410
stupid;1700;1569870
kmp;1700;2269660
refined_kmp;1700;1556540
stupid;1800;1603340
kmp;1800;2247080
refined_kmp;1800;1583780
stupid;1900;1587700
kmp;1900;2316260
refined_kmp;1900;1587680
stupid;2000;1579040
kmp;2000;2270570
refined_kmp;2000;1819020
stupid;2100;2183550
kmp;2100;2211390
refined_kmp;2100;1665470
stupid;2200;1689150
kmp;2200;2259680
refined_kmp;2200;1638100
stupid;2300;1639700
kmp;2300;2277690
refined_kmp;2300;1599850
stupid;2400;1636920
kmp;2400;2238330
refined_kmp;2400;1591620
stupid;2500;1533000
kmp;2500;2233220
refined_kmp;2500;1567830
stupid;2600;1449510
kmp;2600;2244190
refined_kmp;2600;1539120
stupid;2700;1550050
kmp;2700;2193710
refined_kmp;2700;1642400
stupid;2800;1529770
kmp;2800;2298090
refined_kmp;2800;1545870
stupid;2900;1533700
kmp;2900;2260240
refined_kmp;2900;1545530
stupid;3000;1604510
kmp;3000;2245940
refined_kmp;3000;1533780
