algo_name;pattern_len;time
stupid;100;2557700
kmp;100;3222090
refined_kmp;100;1659920
stupid;200;2159080
kmp;200;2535620
refined_kmp;200;1618820
stupid;300;2163090
kmp;300;2586380
refined_kmp;300;1578490
stupid;400;1996230
kmp;400;2661200
refined_kmp;400;1613550
stupid;500;2169150
kmp;500;2621150
refined_kmp;500;1823860
stupid;600;2241660
kmp;600;2612850
refined_kmp;600;1654410
stupid;700;2142350
kmp;700;2594200
refined_kmp;700;1666980
stupid;800;2244530
kmp;800;2612470
refined_kmp;800;1628660
stupid;900;2165310
kmp;900;2475360
refined_kmp;900;1623890
stupid;1000;2138670
kmp;1000;2585650
refined_kmp;1000;1613770
stupid;1100;1999170
kmp;1100;2644340
refined_kmp;1100;1649240
stupid;1200;2215370
kmp;1200;2697390
refined_kmp;1200;1628680
stupid;1300;2118870
kmp;1300;2709080
refined_kmp;1300;1669980
stupid;1400;2128110
kmp;1400;2634880
refined_kmp;1400;1583080
stupid;1500;2113980
kmp;1500;2515140
refined_kmp;1500;1561570
stupid;1600;2103900
kmp;1600;2645230
refined_kmp;1600;1625950
stupid;1700;2173890
kmp;1700;2609480
refined_kmp;1700;1575670
stupid;1800;2050660
kmp;1800;2600710
refined_kmp;1800;1617280
stupid;1900;2222990
kmp;1900;2605140
refined_kmp;1900;1625550
stupid;2000;2203050
kmp;2000;2569540
refined_kmp;2000;1635490
stupid;2100;2256950
kmp;2100;2572820
refined_kmp;2100;1606160
stupid;2200;2240860
kmp;2200;2633920
refined_kmp;2200;1615900
stupid;2300;2151810
kmp;2300;2624140
refined_kmp;2300;1619160
stupid;2400;2137040
kmp;2400;2661100
refined_kmp;2400;1612390
stupid;2500;2149030
kmp;2500;2663190
refined_kmp;2500;1711380
stupid;2600;2173150
kmp;2600;2607880
refined_kmp;2600;1574960
stupid;2700;2061960
kmp;2700;2681020
refined_kmp;2700;1610090
stupid;2800;2163990
kmp;2800;2634070
refined_kmp;2800;1587470
stupid;2900;2127770
kmp;2900;2630020
refined_kmp;2900;1678650
stupid;3000;2134930
kmp;3000;2612580
refined_kmp;3000;1644810
