algo_name;pattern_len;time
stupid;100;156820
kmp;100;209250
refined_kmp;100;153680
stupid;200;159120
kmp;200;215480
refined_kmp;200;152730
stupid;300;150060
kmp;300;216480
refined_kmp;300;153740
stupid;400;150710
kmp;400;218530
refined_kmp;400;154100
stupid;500;148270
kmp;500;220140
refined_kmp;500;156180
stupid;600;221130
kmp;600;218180
refined_kmp;600;158130
stupid;700;150140
kmp;700;230110
refined_kmp;700;157650
stupid;800;147880
kmp;800;226910
refined_kmp;800;157710
stupid;900;147150
kmp;900;237430
refined_kmp;900;165870
stupid;1000;148040
kmp;1000;227700
refined_kmp;1000;160310
stupid;1100;144470
kmp;1100;231690
refined_kmp;1100;165450
stupid;1200;142750
kmp;1200;230920
refined_kmp;1200;166890
stupid;1300;139900
kmp;1300;316360
refined_kmp;1300;161430
stupid;1400;139580
kmp;1400;236150
refined_kmp;1400;167370
stupid;1500;139040
kmp;1500;236620
refined_kmp;1500;168840
stupid;1600;139500
kmp;1600;237670
refined_kmp;1600;176310
stupid;1700;137220
kmp;1700;239610
refined_kmp;1700;170280
stupid;1800;137610
kmp;1800;240010
refined_kmp;1800;171390
stupid;1900;136750
kmp;1900;246580
refined_kmp;1900;168250
stupid;2000;132480
kmp;2000;253370
refined_kmp;2000;175630
stupid;2100;140100
kmp;2100;248730
refined_kmp;2100;169580
stupid;2200;130190
kmp;2200;252570
refined_kmp;2200;174440
stupid;2300;132290
kmp;2300;246830
refined_kmp;2300;174680
stupid;2400;131810
kmp;2400;263970
refined_kmp;2400;176290
stupid;2500;132070
kmp;2500;255710
refined_kmp;2500;173770
stupid;2600;129960
kmp;2600;257290
refined_kmp;2600;174360
stupid;2700;132750
kmp;2700;264710
refined_kmp;2700;196940
stupid;2800;154790
kmp;2800;275140
refined_kmp;2800;188160
stupid;2900;132480
kmp;2900;264330
refined_kmp;2900;194100
stupid;3000;123610
kmp;3000;260760
refined_kmp;3000;196020
