algo_name;pattern_len;time
stupid;100;2566690
kmp;100;3525480
refined_kmp;100;1918290
hash;100;2241140
stupid;200;2395140
kmp;200;14234130
refined_kmp;200;1801840
hash;200;2244170
stupid;300;2314550
kmp;300;3009710
refined_kmp;300;1673920
hash;300;2193300
stupid;400;11840640
kmp;400;3131120
refined_kmp;400;1900160
hash;400;2199890
stupid;500;2412400
kmp;500;3383210
refined_kmp;500;1799630
hash;500;2153530
stupid;600;2345390
kmp;600;2884900
refined_kmp;600;1748990
hash;600;2137200
stupid;700;2325420
kmp;700;2885850
refined_kmp;700;1709920
hash;700;2480940
stupid;800;2324680
kmp;800;2937820
refined_kmp;800;1951900
hash;800;2221220
stupid;900;2406660
kmp;900;2993260
refined_kmp;900;1755680
hash;900;2686660
stupid;1000;2425400
kmp;1000;27892920
refined_kmp;1000;2007880
hash;1000;2301700
stupid;1100;2229550
kmp;1100;2682110
refined_kmp;1100;1745110
hash;1100;2063510
stupid;1200;2148290
kmp;1200;2688760
refined_kmp;1200;1598440
hash;1200;1962540
stupid;1300;2122960
kmp;1300;2669120
refined_kmp;1300;1679920
hash;1300;2071270
stupid;1400;2166400
kmp;1400;2720180
refined_kmp;1400;1881630
hash;1400;1976760
stupid;1500;2148380
kmp;1500;2546900
refined_kmp;1500;1594120
hash;1500;1949750
stupid;1600;2099370
kmp;1600;2727930
refined_kmp;1600;2145620
hash;1600;1994300
stupid;1700;2068800
kmp;1700;2696660
refined_kmp;1700;1612990
hash;1700;1931960
stupid;1800;2039420
kmp;1800;2661340
refined_kmp;1800;1586200
hash;1800;1939860
stupid;1900;2113320
kmp;1900;2668380
refined_kmp;1900;1630500
hash;1900;1978150
stupid;2000;2124290
kmp;2000;3050930
refined_kmp;2000;1576530
hash;2000;1945680
stupid;2100;2035230
kmp;2100;2656210
refined_kmp;2100;1577250
hash;2100;1946900
stupid;2200;2027670
kmp;2200;2656680
refined_kmp;2200;1591360
hash;2200;1943760
stupid;2300;2079670
kmp;2300;2638020
refined_kmp;2300;1575490
hash;2300;1992110
stupid;2400;2101150
kmp;2400;2591800
refined_kmp;2400;1582980
hash;2400;1962850
stupid;2500;1963300
kmp;2500;2491310
refined_kmp;2500;1666760
hash;2500;2000580
stupid;2600;2232540
kmp;2600;2558080
refined_kmp;2600;1634170
hash;2600;1995120
stupid;2700;2101380
kmp;2700;2643360
refined_kmp;2700;1646360
hash;2700;1973150
stupid;2800;2173090
kmp;2800;2557040
refined_kmp;2800;1643380
hash;2800;2007330
stupid;2900;2145880
kmp;2900;2571260
refined_kmp;2900;1641330
hash;2900;1990110
stupid;3000;2138190
kmp;3000;2646810
refined_kmp;3000;1712710
hash;3000;1987530
