algo_name;pattern_len;time
stupid;100;1534570
kmp;100;2187030
refined_kmp;100;1556650
stupid;200;1609690
kmp;200;2193040
refined_kmp;200;1542630
stupid;300;1577990
kmp;300;2147310
refined_kmp;300;1580540
stupid;400;1510830
kmp;400;2264090
refined_kmp;400;1587460
stupid;500;1529700
kmp;500;2811730
refined_kmp;500;1570520
stupid;600;1657170
kmp;600;2256370
refined_kmp;600;1732070
stupid;700;1570200
kmp;700;2458720
refined_kmp;700;1756400
stupid;800;1592880
kmp;800;2279450
refined_kmp;800;1602980
stupid;900;1635510
kmp;900;2197120
refined_kmp;900;1630530
stupid;1000;1665110
kmp;1000;3747570
refined_kmp;1000;1696790
stupid;1100;1640010
kmp;1100;2824130
refined_kmp;1100;1638660
stupid;1200;1569500
kmp;1200;2284320
refined_kmp;1200;1592740
stupid;1300;1560250
kmp;1300;2318350
refined_kmp;1300;1600450
stupid;1400;1559540
kmp;1400;2381810
refined_kmp;1400;1692990
stupid;1500;1576950
kmp;1500;2423250
refined_kmp;1500;2108360
stupid;1600;1551860
kmp;1600;2289220
refined_kmp;1600;1622960
stupid;1700;1569550
kmp;1700;2244530
refined_kmp;1700;1585580
stupid;1800;1589060
kmp;1800;2232100
refined_kmp;1800;1592810
stupid;1900;1569680
kmp;1900;2321320
refined_kmp;1900;1639780
stupid;2000;1543490
kmp;2000;2202240
refined_kmp;2000;1675380
stupid;2100;1528990
kmp;2100;2126020
refined_kmp;2100;1537250
stupid;2200;1486560
kmp;2200;2198570
refined_kmp;2200;1625900
stupid;2300;1490510
kmp;2300;2310690
refined_kmp;2300;1659190
stupid;2400;1650300
kmp;2400;2384290
refined_kmp;2400;1853780
stupid;2500;1550250
kmp;2500;2280600
refined_kmp;2500;1598790
stupid;2600;1553790
kmp;2600;2209190
refined_kmp;2600;1575520
stupid;2700;1560150
kmp;2700;2207260
refined_kmp;2700;1570290
stupid;2800;1559760
kmp;2800;2194530
refined_kmp;2800;1575630
stupid;2900;1494770
kmp;2900;2185240
refined_kmp;2900;1610570
stupid;3000;1482300
kmp;3000;2185590
refined_kmp;3000;1570000
