algo_name;pattern_len;time
stupid;100;214090
kmp;100;227350
refined_kmp;100;171630
stupid;200;204900
kmp;200;249500
refined_kmp;200;161810
stupid;300;208640
kmp;300;239960
refined_kmp;300;612720
stupid;400;184040
kmp;400;249850
refined_kmp;400;192470
stupid;500;206670
kmp;500;241520
refined_kmp;500;155880
stupid;600;192270
kmp;600;252460
refined_kmp;600;216140
stupid;700;192460
kmp;700;243830
refined_kmp;700;176030
stupid;800;208060
kmp;800;251550
refined_kmp;800;171420
stupid;900;203460
kmp;900;263590
refined_kmp;900;169970
stupid;1000;200360
kmp;1000;274970
refined_kmp;1000;180840
stupid;1100;188250
kmp;1100;271970
refined_kmp;1100;190180
stupid;1200;208900
kmp;1200;257590
refined_kmp;1200;175660
stupid;1300;247820
kmp;1300;272800
refined_kmp;1300;173060
stupid;1400;195290
kmp;1400;282570
refined_kmp;1400;173640
stupid;1500;199620
kmp;1500;273510
refined_kmp;1500;175370
stupid;1600;194350
kmp;1600;297670
refined_kmp;1600;177890
stupid;1700;176260
kmp;1700;275340
refined_kmp;1700;253250
stupid;1800;182370
kmp;1800;261040
refined_kmp;1800;193730
stupid;1900;190810
kmp;1900;275360
refined_kmp;1900;183250
stupid;2000;179360
kmp;2000;283320
refined_kmp;2000;186450
stupid;2100;192700
kmp;2100;289550
refined_kmp;2100;192930
stupid;2200;177570
kmp;2200;301160
refined_kmp;2200;192210
stupid;2300;175430
kmp;2300;273440
refined_kmp;2300;210350
stupid;2400;175120
kmp;2400;274540
refined_kmp;2400;179670
stupid;2500;155220
kmp;2500;284290
refined_kmp;2500;178420
stupid;2600;151660
kmp;2600;307760
refined_kmp;2600;187970
stupid;2700;159990
kmp;2700;274470
refined_kmp;2700;187730
stupid;2800;161510
kmp;2800;288530
refined_kmp;2800;236770
stupid;2900;204670
kmp;2900;293270
refined_kmp;2900;185710
stupid;3000;162120
kmp;3000;291680
refined_kmp;3000;210790
