algo_name;pattern_len;time
stupid;100;152640
kmp;100;209130
refined_kmp;100;153510
stupid;200;164800
kmp;200;207400
refined_kmp;200;150010
stupid;300;155180
kmp;300;222050
refined_kmp;300;205660
stupid;400;158050
kmp;400;206020
refined_kmp;400;164240
stupid;500;160710
kmp;500;216010
refined_kmp;500;153240
stupid;600;146280
kmp;600;241380
refined_kmp;600;224910
stupid;700;134160
kmp;700;217640
refined_kmp;700;159230
stupid;800;164050
kmp;800;219980
refined_kmp;800;154790
stupid;900;142280
kmp;900;223630
refined_kmp;900;175910
stupid;1000;133450
kmp;1000;208360
refined_kmp;1000;145450
stupid;1100;128560
kmp;1100;240150
refined_kmp;1100;146510
stupid;1200;130850
kmp;1200;227120
refined_kmp;1200;166450
stupid;1300;151830
kmp;1300;227560
refined_kmp;1300;158520
stupid;1400;137730
kmp;1400;251760
refined_kmp;1400;170200
stupid;1500;133730
kmp;1500;232720
refined_kmp;1500;262520
stupid;1600;139280
kmp;1600;226440
refined_kmp;1600;167330
stupid;1700;137500
kmp;1700;249710
refined_kmp;1700;173260
stupid;1800;135190
kmp;1800;251600
refined_kmp;1800;177530
stupid;1900;133680
kmp;1900;249040
refined_kmp;1900;173800
stupid;2000;131700
kmp;2000;256510
refined_kmp;2000;172460
stupid;2100;133300
kmp;2100;299610
refined_kmp;2100;204070
stupid;2200;132800
kmp;2200;246850
refined_kmp;2200;173600
stupid;2300;136900
kmp;2300;261760
refined_kmp;2300;174460
stupid;2400;132560
kmp;2400;260350
refined_kmp;2400;184870
stupid;2500;130840
kmp;2500;253410
refined_kmp;2500;173130
stupid;2600;129820
kmp;2600;330200
refined_kmp;2600;173150
stupid;2700;125870
kmp;2700;265710
refined_kmp;2700;177570
stupid;2800;126430
kmp;2800;262600
refined_kmp;2800;178810
stupid;2900;126220
kmp;2900;264470
refined_kmp;2900;178790
stupid;3000;123470
kmp;3000;274420
refined_kmp;3000;188060
