algo_name;pattern_len;time
stupid;100;207820
kmp;100;250370
refined_kmp;100;159120
stupid;200;207980
kmp;200;249710
refined_kmp;200;158870
stupid;300;215110
kmp;300;252220
refined_kmp;300;157510
stupid;400;200190
kmp;400;261380
refined_kmp;400;163720
stupid;500;199770
kmp;500;255080
refined_kmp;500;164110
stupid;600;201480
kmp;600;315810
refined_kmp;600;155430
stupid;700;199630
kmp;700;260200
refined_kmp;700;167150
stupid;800;196860
kmp;800;259480
refined_kmp;800;166090
stupid;900;195590
kmp;900;272530
refined_kmp;900;166420
stupid;1000;229140
kmp;1000;324170
refined_kmp;1000;195750
stupid;1100;194630
kmp;1100;265270
refined_kmp;1100;175740
stupid;1200;192090
kmp;1200;338980
refined_kmp;1200;170060
stupid;1300;186710
kmp;1300;267300
refined_kmp;1300;175470
stupid;1400;185900
kmp;1400;271840
refined_kmp;1400;178940
stupid;1500;182780
kmp;1500;277230
refined_kmp;1500;180650
stupid;1600;186290
kmp;1600;271290
refined_kmp;1600;180310
stupid;1700;184690
kmp;1700;272870
refined_kmp;1700;180220
stupid;1800;183110
kmp;1800;274820
refined_kmp;1800;202200
stupid;1900;180900
kmp;1900;283390
refined_kmp;1900;181760
stupid;2000;175270
kmp;2000;278240
refined_kmp;2000;185560
stupid;2100;176980
kmp;2100;281390
refined_kmp;2100;188020
stupid;2200;175700
kmp;2200;283130
refined_kmp;2200;187450
stupid;2300;174700
kmp;2300;286190
refined_kmp;2300;191480
stupid;2400;172170
kmp;2400;283350
refined_kmp;2400;189720
stupid;2500;219700
kmp;2500;284160
refined_kmp;2500;191070
stupid;2600;168900
kmp;2600;288210
refined_kmp;2600;191210
stupid;2700;167250
kmp;2700;290310
refined_kmp;2700;192220
stupid;2800;612000
kmp;2800;281550
refined_kmp;2800;186010
stupid;2900;160010
kmp;2900;298910
refined_kmp;2900;191000
stupid;3000;159210
kmp;3000;294040
refined_kmp;3000;193920
